Итерация,Тип подвески,Xmech1,Xmech2,Xmech3,,Плавность хода,Энергопотребление,Угол крена,Угол дифферента,Проходимость,Итоговая Парето
215,Double Wishbone,8.0,0.2,0.6,,3.6005,24.3233,0.0,0.0,1,100000000000001.08
216,Double Wishbone,10.0,0.2,0.6,,3.6005,24.3233,0.0,0.0,1,100000000000001.08
217,Rocker Bogie,10,0.6,0.6,,18.3608,1224193.6533,0.0973,0.4356,0,128.3007
218,Rocker Bogie,20.0,0.6,0.6,,16.799,3007550.4898,0.0844,0.3384,0,306.0907
219,Rocker Bogie,30.0,0.6,0.6,,10.3551,6225601.3882,0.3924,0.3784,0,626.2062
220,Rocker Bogie,40.0,0.6,0.6,,13.5278,5621404.7349,1.5551,0.6233,0,567.7237
221,Rocker Bogie,50.0,0.6,0.6,,15.4051,6587732.024,0.4829,0.5685,0,664.1307
222,Rocker Bogie,60.0,0.6,0.6,,22.4809,10347835.835,0.7824,0.9468,0,1042.7383
223,Rocker Bogie,70.0,0.6,0.6,,20.1163,7309268.5941,0.1773,0.4634,0,737.4102
224,Rocker Bogie,80.0,0.6,0.6,,9.5493,9081884.1241,0.23,0.4067,1,100000000000911.5
225,Rocker Bogie,90.0,0.6,0.6,,19.094,3905032.679,3.1116,1.554,0,399.4974
226,Rocker Bogie,100.0,0.6,0.6,,14.9911,6212317.2566,0.4353,0.4311,0,626.3355
227,Rocker Bogie,10,0.6,0.8,,12.5252,919838.8884,3.1416,1.2503,0,98.8158
228,Rocker Bogie,20.0,0.6,0.8,,16.6117,9878124.8449,2.5416,1.4995,0,995.6248
229,Rocker Bogie,30.0,0.6,0.8,,27.1618,5050058.0977,3.1416,1.5319,0,516.4258
230,Rocker Bogie,40.0,0.6,0.8,,15.9997,8879251.2165,3.1416,0.5201,0,895.2882
231,Rocker Bogie,50.0,0.6,0.8,,14.1379,797380.4201,3.1413,1.1787,0,87.0034
232,Rocker Bogie,60.0,0.6,0.8,,23.264,4592553.1507,3.1415,1.4699,1,100000000000469.47
233,Rocker Bogie,70.0,0.6,0.8,,9.0424,9651811.5505,0.3206,0.3562,1,100000000000968.38
234,Rocker Bogie,80.0,0.6,0.8,,11.0942,7008180.4744,3.1415,0.7879,1,100000000000706.89
235,Rocker Bogie,90.0,0.6,0.8,,11.6656,6666952.5591,0.0456,0.4032,0,670.509
236,Rocker Bogie,100.0,0.6,0.8,,19.2154,4481002.9614,3.1409,1.5697,0,457.1624
237,Rocker Bogie,10,0.6,1.0,,10.7941,38634839.8628,0.124,0.3238,0,3867.0357
238,Rocker Bogie,20.0,0.6,1.0,,8.8739,10804096.5321,0.449,0.3021,1,100000000001083.6
239,Rocker Bogie,30.0,0.6,1.0,,9.9891,5568943.5276,0.3194,0.3615,0,560.3677
240,Rocker Bogie,40.0,0.6,1.0,,17.0473,4123355.4754,3.1402,1.5337,0,420.7215
241,Rocker Bogie,50.0,0.6,1.0,,12.3074,626533.2077,0.1239,0.4931,0,66.7774
242,Rocker Bogie,60.0,0.6,1.0,,21.5013,3434254.1871,0.1899,0.491,0,350.3525
243,Rocker Bogie,70.0,0.6,1.0,,11.1705,13343018.1855,0.0816,0.3693,0,1337.9686
244,Rocker Bogie,80.0,0.6,1.0,,15.1459,12224608.6631,3.1416,0.5672,1,100000000001229.6
245,Rocker Bogie,90.0,0.6,1.0,,18.6609,3890666.5784,3.1416,1.2365,0,397.7296
246,Rocker Bogie,100.0,0.6,1.0,,23.568,9942471.1994,3.1415,1.4902,1,100000000001004.56
247,Rocker Bogie,10,0.6,1.2,,13.3911,10976353.0144,0.1261,0.8542,0,1102.3388
248,Rocker Bogie,20.0,0.6,1.2,,11.511,13638062.6504,0.6312,0.2239,0,1367.8581
249,Rocker Bogie,30.0,0.6,1.2,,11.7913,15451064.2646,3.1415,0.7786,1,100000000001551.39
250,Rocker Bogie,40.0,0.6,1.2,,11.0538,3613582.3611,0.0754,0.3723,0,364.9878
251,Rocker Bogie,50.0,0.6,1.2,,11.7494,8493469.0572,0.5,0.9351,0,853.8763
252,Rocker Bogie,60.0,0.6,1.2,,12.467,35485676.9324,0.5639,0.5714,0,3553.1025
253,Rocker Bogie,70.0,0.6,1.2,,19.072,3467567.2712,0.7271,0.5007,0,353.3377
254,Rocker Bogie,80.0,0.6,1.2,,15.1671,7548941.779,0.3268,0.4337,0,759.9766
255,Rocker Bogie,90.0,0.6,1.2,,22.3189,3497345.8167,0.4184,0.5324,0,357.0959
256,Rocker Bogie,100.0,0.6,1.2,,9.9866,7433483.9571,0.287,0.4068,0,746.83
